city,date,temperature_2m (°C),relative_humidity_2m (%),surface_pressure (hPa),wind_speed_10m (km/h),wind_speed_100m (km/h),weather_condition
Ahmednagar,2024-01-01,21.858333333333334,55.791666666666664,940.4375,9.620833333333334,14.754166666666668,Sunny
Ahmednagar,2024-01-02,21.820833333333336,56.583333333333336,939.7083333333334,8.845833333333333,12.254166666666668,Cloudy
Ahmednagar,2024-01-03,22.175,61.125,939.0749999999999,10.133333333333333,14.6875,Cloudy
Ahmednagar,2024-01-04,22.066666666666666,52.916666666666664,939.1374999999999,9.916666666666666,14.054166666666667,Sunny
Ahmednagar,2024-01-05,21.441666666666666,66.16666666666667,939.6416666666668,7.0125,10.05,Cloudy
Ahmednagar,2024-01-06,21.400000000000002,67.95833333333333,939.9833333333332,7.708333333333333,13.200000000000001,Cloudy
Ahmednagar,2024-01-07,22.6125,56.916666666666664,940.4958333333334,14.362499999999999,24.27916666666667,Cloudy
Ahmednagar,2024-01-08,22.941666666666666,55.583333333333336,940.9291666666667,12.620833333333332,21.833333333333332,Sunny
Ahmednagar,2024-01-09,21.9375,65.91666666666667,941.4166666666666,12.791666666666666,20.75,Cloudy
Ahmednagar,2024-01-10,21.241666666666667,70.83333333333333,941.4041666666667,7.308333333333334,11.799999999999999,Rainy
Ahmednagar,2024-01-11,22.491666666666664,63.416666666666664,941.3708333333334,9.641666666666667,16.445833333333333,Cloudy
Ahmednagar,2024-01-12,22.854166666666668,59.833333333333336,941.3416666666667,8.275,11.979166666666666,Cloudy
Ahmednagar,2024-01-13,22.754166666666666,56.041666666666664,941.6999999999999,9.016666666666667,15.254166666666668,Sunny
Ahmednagar,2024-01-14,22.5625,52.5,941.6083333333332,10.025,17.545833333333334,Sunny
Ahmednagar,2024-01-15,20.204166666666666,43.041666666666664,940.0375,9.049999999999999,16.620833333333334,Cloudy
Ahmednagar,2024-01-16,20.820833333333333,49.125,937.9666666666667,8.629166666666666,14.145833333333334,Cloudy
Ahmednagar,2024-01-17,21.425,54.791666666666664,937.9041666666667,9.029166666666667,15.954166666666666,Cloudy
Ahmednagar,2024-01-18,20.341666666666665,56.416666666666664,939.0291666666667,8.970833333333333,15.408333333333333,Cloudy
Ahmednagar,2024-01-19,21.920833333333334,53.583333333333336,939.225,9.504166666666666,16.175,Sunny
Ahmednagar,2024-01-20,22.391666666666666,55.708333333333336,940.5083333333333,12.6,21.349999999999998,Cloudy
Ahmednagar,2024-01-21,20.908333333333335,57.833333333333336,940.9166666666666,7.633333333333333,13.8125,Cloudy
Ahmednagar,2024-01-22,21.741666666666664,52.583333333333336,941.2083333333334,11.3375,18.579166666666666,Sunny
Ahmednagar,2024-01-23,20.145833333333332,48.708333333333336,940.7624999999999,11.179166666666667,19.537499999999998,Cloudy
Ahmednagar,2024-01-24,19.091666666666665,42.166666666666664,941.2958333333332,10.220833333333333,19.120833333333334,Cloudy
Ahmednagar,2024-01-25,19.45,44.583333333333336,942.4125,7.691666666666666,14.258333333333333,Cloudy
Ahmednagar,2024-01-26,21.354166666666668,50.375,943.6208333333334,6.825,11.029166666666667,Cloudy
Ahmednagar,2024-01-27,22.229166666666668,54.791666666666664,943.4416666666666,6.3125,10.766666666666666,Sunny
Ahmednagar,2024-01-28,23.4875,47.25,943.15,8.549999999999999,13.862499999999999,Sunny
